,DestinationCity,OriginCity,AirlineStatus,Age,Gender,PriceSensitivity,YearOfFirstFlight,FLightsPerYear,Loyalty,TypeOfTravel,TotalFreqFlyAccount,ShoppingAmount,FoodExpenses,Class,FlightDate,PartnerCode,ScheduleDepHour,DepartureDelayInMin,ArrivalDelayInMin,FlightCancelled,FlightDuration,Distance,LikelihoodRecommendScore,OriginLong,OriginLat,DestLong,DestLat,DestinationState,OriginState,AgeGroup
2394,New York,Miami,Blue,25,Female,2,2003,10,0.0909,Mileage tickets,2,0,45,Eco Plus,2/11/2014,AA,13,52,36,No,133,1089,7,-80.2314,26.1756,-73.9702,40.7184,NY,FL,18-36
2395,Buffalo,Orlando,Blue,31,Male,1,2003,4,0.1111,Business travel,0,5,30,Eco,3/28/2014,WN,10,24,9,No,134,1011,8,-81.4112,28.5844,-78.8237,42.9249,NY,FL,18-36
2396,Akron,New York,Blue,29,Male,1,2003,6,0.52,Business travel,3,0,70,Eco,3/22/2014,FL,19,0,0,No,69,397,10,-73.9702,40.7184,-81.4919,41.0662,OH,NY,18-36
2402,Lafayette,Atlanta,Blue,22,Female,1,2010,22,-0.4194,Mileage tickets,0,0,20,Eco,1/10/2014,EV,10,2,0,No,81,503,8,-84.3319,33.8241,-92.0133,30.1654,LA,GA,18-36
2403,Baltimore,Tampa,Silver,26,Female,2,2003,5,0.5,Personal Travel,1,0,180,Eco,1/4/2014,WN,9,0,0,No,107,842,9,-82.5132,28.0062,-76.6478,39.2341,MD,FL,18-36
2404,Denver,Austin,Blue,25,Female,1,2007,15,0.4118,Personal Travel,2,0,10,Eco,1/15/2014,WN,17,0,6,No,115,775,1,-97.7615,30.3585,-104.9551,39.7108,CO,TX,18-36
2411,Baltimore,Dayton,Blue,25,Female,2,2009,24,-0.7143,Business travel,0,109,80,Eco Plus,1/21/2014,FL,12,1,1,No,90,406,7,-84.1671,39.7549,-76.6478,39.2341,MD,OH,18-36
2421,Washington,New York,Blue,21,Female,1,2012,31,-0.6316,Business travel,2,0,65,Business,1/7/2014,MQ,12,124,129,No,54,213,8,-73.9702,40.7184,-77.1897,38.8974,DC,NY,18-36
2423,New York,Miami,Blue,27,Female,1,2003,10,-0.25,Business travel,1,90,30,Eco,2/23/2014,AA,20,0,0,No,140,1096,9,-80.2314,26.1756,-73.9702,40.7184,NY,FL,18-36
2427,Austin,Dallas,Blue,29,Female,1,2012,0,1,Mileage tickets,0,0,362,Eco Plus,2/4/2014,WN,19,58,60,No,40,189,6,-96.972,32.8127,-97.7615,30.3585,TX,TX,18-36
2429,Huntsville,Washington,Blue,35,Male,0,2012,2,0.7143,Business travel,3,0,95,Eco,1/10/2014,EV,8,68,119,No,97,596,8,-77.1897,38.8974,-86.6378,34.7414,AL,DC,18-36
2432,Denver,Bozeman,Blue,23,Female,1,2003,1,0.9048,Business travel,1,5,113,Eco Plus,1/23/2014,OU,7,0,0,No,76,524,10,-111.0576,45.6839,-104.9551,39.7108,CO,MT,18-36
2433,St. Louis,New Orleans,Blue,30,Female,2,2004,19,-0.1176,Personal Travel,3,20,75,Eco,1/25/2014,WN,12,25,40,No,95,604,5,-90.1437,29.9547,-90.3409,38.6307,MO,LA,18-36
2444,Minneapolis,San Diego,Blue,20,Male,1,2006,43,-0.7917,Business travel,0,15,35,Eco,2/2/2014,DL,6,0,0,No,181,1532,6,-117.1288,32.9287,-93.2798,44.9782,MN,CA,18-36
2445,Houston,Tampa,Blue,22,Female,1,2012,4,0.2,Personal Travel,0,65,11,Eco,3/1/2014,OU,7,0,0,No,123,787,3,-82.5132,28.0062,-95.3935,29.7843,TX,FL,18-36
2449,Dickinson,Denver,Silver,23,Male,1,2010,45,-0.6981,Mileage tickets,0,40,90,Eco,3/28/2014,EV,10,22,17,No,73,488,9,-104.9551,39.7108,-102.7868,46.8855,ND,CO,18-36
2454,Milwaukee,Los Angeles,Blue,28,Female,1,2005,7,0.2222,Business travel,3,0,45,Eco,2/21/2014,WN,6,0,2,No,216,1756,7,-118.1043,33.9827,-88.1005,43.0557,WI,CA,18-36
2462,Atlanta,Springfield,Blue,30,Male,1,2003,13,-0.625,Business travel,0,0,99,Eco,3/26/2014,EV,15,1,9,No,74,563,8,-93.2871,37.1489,-84.3319,33.8241,GA,MO,18-36
2466,Chicago,Boston,Silver,33,Male,1,2007,9,-0.3846,Business travel,0,45,60,Eco,3/27/2014,AA,10,0,0,No,136,867,10,-71.1407,42.3731,-87.8954,41.8271,IL,MA,18-36
2468,Washington,Miami,Blue,32,Male,1,2009,19,-0.4074,Business travel,0,0,80,Eco,2/23/2014,AA,19,0,0,No,118,919,10,-80.2314,26.1756,-77.1897,38.8974,DC,FL,18-36
2471,New York,Chicago,Blue,22,Male,1,2006,9,-0.2,Business travel,0,0,90,Eco,2/18/2014,AA,13,152,134,No,96,733,8,-87.8954,41.8271,-73.9702,40.7184,NY,IL,18-36
2472,San Juan,Baltimore,Blue,20,Female,1,2009,8,0.0588,Business travel,0,62,104,Eco,3/18/2014,WN,12,1,0,No,210,1565,10,-76.6478,39.2341,-66.1162,18.2882,PR,MD,18-36
2484,Los Angeles,Detroit,Silver,26,Male,1,2006,2,0.7143,Business travel,2,0,60,Eco,1/27/2014,DL,17,51,45,No,259,1979,9,-83.2276,42.49,-118.1043,33.9827,CA,MI,18-36
2487,Little Rock,Phoenix,Silver,34,Male,1,2008,1,0.6667,Business travel,1,0,30,Eco,2/3/2014,WN,10,5,0,No,125,1136,8,-111.97,33.4941,-92.3212,34.7566,AR,AZ,18-36
2489,Portland,Denver,Blue,22,Female,2,2003,13,-0.5294,Business travel,1,0,45,Eco,3/12/2014,WN,21,17,0,No,134,991,7,-104.9551,39.7108,-122.6511,45.5204,OR,CO,18-36
2491,Denver,Pittsburgh,Blue,19,Male,2,2003,6,0.2,Mileage tickets,1,10,0,Eco,2/17/2014,EV,8,0,0,No,189,1290,6,-79.951,40.457,-104.9551,39.7108,CO,PA,18-36
2496,Denver,Grand Junction,Blue,34,Female,2,2004,23,-0.4839,Business travel,1,210,30,Eco,2/28/2014,EV,17,0,0,No,38,212,7,-108.5675,39.0891,-104.9551,39.7108,CO,CO,18-36
2499,New Orleans,Houston,Silver,30,Female,2,2007,34,-0.8889,Business travel,0,0,20,Eco,2/12/2014,WN,15,0,0,No,46,302,8,-95.3935,29.7843,-90.1437,29.9547,LA,TX,18-36
2501,Chicago,Washington,Blue,34,Male,1,2004,13,-0.3,Business travel,1,0,45,Eco,2/22/2014,OU,12,412,410,No,95,589,8,-77.1897,38.8974,-87.8954,41.8271,IL,DC,18-36
2502,Cincinnati,Los Angeles,Blue,22,Male,2,2005,2,0.7647,Mileage tickets,1,105,435,Eco,2/21/2014,DL,8,0,0,No,206,1900,8,-118.1043,33.9827,-84.462,39.1855,OH,CA,18-36
2505,Houston,Las Vegas,Blue,25,Female,1,2007,17,-0.0303,Business travel,1,180,25,Eco,3/2/2014,OU,17,8,17,No,150,1222,9,-115.1672,36.1349,-95.3935,29.7843,TX,NV,18-36
2517,Chicago,Milwaukee,Blue,23,Male,1,2004,22,-0.0476,Business travel,2,0,30,Eco,2/9/2014,OO,17,0,0,No,24,67,9,-88.1005,43.0557,-87.8954,41.8271,IL,WI,18-36
2521,Denver,Little Rock,Gold,34,Female,1,2012,7,0.4815,Business travel,2,0,25,Eco,3/2/2014,EV,13,74,84,No,124,771,6,-92.3212,34.7566,-104.9551,39.7108,CO,AR,18-36
2524,Springfield,Atlanta,Blue,31,Male,1,2010,15,-0.0714,Business travel,2,95,90,Business,1/18/2014,EV,19,10,0,No,90,563,8,-84.3319,33.8241,-93.2871,37.1489,MO,GA,18-36
2526,Miami,Boston,Blue,29,Female,1,2009,5,0.7436,Personal Travel,3,0,70,Eco,1/2/2014,AA,11,111,158,No,198,1258,4,-71.1407,42.3731,-80.2314,26.1756,FL,MA,18-36
2533,Paducah,Chicago,Blue,23,Female,2,2006,24,-0.1707,Business travel,2,0,30,Eco,3/16/2014,OO,13,84,84,No,59,342,7,-87.8954,41.8271,-88.6264,37.0541,KY,IL,18-36
2538,Philadelphia,Boston,Blue,27,Female,1,2008,10,0.2593,Business travel,2,60,35,Business,3/17/2014,US,14,32,29,No,68,280,7,-71.1407,42.3731,-75.2984,39.9733,PA,MA,18-36
2543,Pittsburgh,Chicago,Blue,30,Male,1,2005,34,-0.5814,Business travel,0,0,60,Eco,2/18/2014,WN,20,15,0,No,59,402,9,-87.8954,41.8271,-79.951,40.457,PA,IL,18-36
2553,Denver,Reno,Blue,32,Male,1,2012,13,-0.04,Mileage tickets,3,0,120,Eco,1/3/2014,WN,13,79,70,No,101,804,2,-119.7959,39.5326,-104.9551,39.7108,CO,NV,18-36
2559,Appleton,Atlanta,Blue,33,Female,2,2003,10,0,Personal Travel,1,0,20,Eco,1/12/2014,EV,15,0,10,No,101,765,3,-84.3319,33.8241,-88.4111,44.2467,WI,GA,18-36
2563,Albany,Baltimore,Gold,35,Female,1,2003,6,0.2941,Personal Travel,1,30,45,Business,3/2/2014,WN,9,0,0,No,50,289,4,-76.6478,39.2341,-73.7994,42.7439,NY,MD,18-36
2569,Atlanta,Panama City,Blue,32,Female,1,2010,70,-0.9718,Business travel,1,0,80,Eco,2/13/2014,DL,14,0,0,No,43,240,10,-85.6773,30.1941,-84.3319,33.8241,GA,FL,18-36
2574,Atlanta,Killeen,Blue,27,Male,1,2012,27,-0.3171,Business travel,2,35,40,Eco,2/15/2014,EV,12,0,0,No,100,803,5,-97.7516,31.0946,-84.3319,33.8241,GA,TX,18-36
2579,Denver,Detroit,Blue,33,Male,1,2008,9,0.0526,Business travel,1,0,95,Eco,1/27/2014,DL,12,0,4,No,172,1123,10,-83.2276,42.49,-104.9551,39.7108,CO,MI,18-36
2583,Orlando,Cincinnati,Blue,23,Female,1,2008,8,0,Business travel,1,0,45,Eco,3/21/2014,DL,14,0,0,No,99,757,9,-84.462,39.1855,-81.4112,28.5844,FL,OH,18-36
2584,Philadelphia,Miami,Silver,31,Female,2,2008,14,0.5625,Personal Travel,2,0,20,Eco,3/10/2014,AA,14,0,0,No,139,1013,7,-80.2314,26.1756,-75.2984,39.9733,PA,FL,18-36
2589,Fort Smith,Atlanta,Blue,31,Female,1,2007,22,-0.1282,Business travel,3,0,45,Eco,2/12/2014,EV,10,NA,NA,Yes,0,579,6,-84.3319,33.8241,-94.3767,35.479,AR,GA,18-36
2593,Seattle,Sacramento,Silver,35,Male,1,2003,3,0.4545,Business travel,3,0,25,Eco,3/31/2014,AS,19,0,0,No,80,605,9,-121.3247,38.6386,-122.2747,47.4684,WA,CA,18-36
2595,San Francisco,Boston,Silver,24,Female,2,2008,16,-0.4545,Business travel,0,10,90,Business,2/24/2014,OU,18,0,0,No,370,2704,10,-71.1407,42.3731,-122.1585,37.6712,CA,MA,18-36
2604,Atlanta,Roanoke,Silver,22,Female,1,2005,14,-0.4,Business travel,0,15,75,Eco,3/4/2014,EV,17,0,0,No,64,357,8,-79.9763,37.2908,-84.3319,33.8241,GA,VA,18-36
2606,Minneapolis,Detroit,Blue,20,Male,1,2006,24,-0.4545,Business travel,0,30,20,Eco,1/28/2014,DL,17,NA,NA,Yes,0,528,7,-83.2276,42.49,-93.2798,44.9782,MN,MI,18-36
2611,Atlanta,Baltimore,Gold,30,Male,2,2009,16,-0.8824,Business travel,0,0,150,Business,3/22/2014,DL,17,9,0,No,84,577,9,-76.6478,39.2341,-84.3319,33.8241,GA,MD,18-36
2614,Phoenix,Indianapolis,Platinum,31,Female,3,2012,0,1,Business travel,2,0,25,Eco,1/26/2014,US,5,0,0,No,211,1488,7,-86.1455,39.8113,-111.97,33.4941,AZ,IN,18-36
2620,Salt Lake City,Philadelphia,Blue,28,Female,1,2007,2,0.8,Business travel,2,120,60,Eco,2/7/2014,US,18,0,0,No,286,1927,9,-75.2984,39.9733,-111.9295,40.6408,UT,PA,18-36
2623,Denver,Dickinson,Silver,32,Female,0,2012,28,-0.4737,Business travel,0,10,20,Eco,1/8/2014,EV,11,161,163,No,72,488,7,-102.7868,46.8855,-104.9551,39.7108,CO,ND,18-36
2624,Denver,New Orleans,Blue,22,Female,1,2005,21,-0.9091,Business travel,0,80,135,Eco,1/18/2014,OU,14,84,78,No,154,1062,9,-90.1437,29.9547,-104.9551,39.7108,CO,LA,18-36
2636,Washington,Milwaukee,Blue,28,Female,1,2003,13,-0.7333,Business travel,4,40,135,Eco,2/15/2014,FL,10,0,3,No,89,634,9,-88.1005,43.0557,-77.1897,38.8974,DC,WI,18-36
2638,Chicago,Minneapolis,Blue,32,Female,1,2006,19,0.2245,Business travel,1,0,38,Eco,1/20/2014,WN,6,0,0,No,59,349,6,-93.2798,44.9782,-87.8954,41.8271,IL,MN,18-36
2642,Boston,Detroit,Blue,19,Female,1,2003,4,-0.3333,Business travel,1,5,25,Eco,3/19/2014,DL,19,37,28,No,75,632,7,-83.2276,42.49,-71.1407,42.3731,MA,MI,18-36
2647,Atlanta,Charlotte,Silver,29,Male,2,2006,10,-0.6667,Personal Travel,0,0,60,Eco,3/18/2014,US,11,70,102,No,53,226,7,-80.8158,35.2497,-84.3319,33.8241,GA,NC,18-36
2656,Boston,Los Angeles,Platinum,30,Female,0,2011,21,0.4085,Business travel,2,0,105,Eco Plus,1/20/2014,B6,8,0,0,No,280,2611,10,-118.1043,33.9827,-71.1407,42.3731,MA,CA,18-36
2661,Lewiston,Salt Lake City,Blue,32,Female,1,2004,23,-0.3529,Business travel,4,0,90,Eco,3/25/2014,OO,11,0,0,No,67,461,8,-111.9295,40.6408,-117.0273,46.3892,ID,UT,18-36
2663,Tampa,Manchester,Silver,23,Male,1,2006,38,-0.9487,Business travel,0,0,15,Eco,2/10/2014,WN,7,2,0,No,195,1204,8,-71.4797,42.991,-82.5132,28.0062,FL,NH,18-36
2665,San Francisco,Boston,Gold,32,Female,1,2006,11,0.56,Business travel,1,105,30,Eco,1/26/2014,VX,8,2,12,No,384,2704,6,-71.1407,42.3731,-122.1585,37.6712,CA,MA,18-36
2667,Buffalo,Chicago,Blue,20,Male,1,2010,48,-0.7143,Personal Travel,3,60,75,Eco Plus,2/18/2014,WN,7,20,21,No,70,468,4,-87.8954,41.8271,-78.8237,42.9249,NY,IL,18-36
2669,Los Angeles,Austin,Silver,34,Male,1,2003,24,0.1579,Business travel,2,0,88,Business,3/22/2014,OO,9,0,0,No,187,1242,9,-97.7615,30.3585,-118.1043,33.9827,CA,TX,18-36
2684,Charlotte,New York,Silver,28,Male,1,2004,3,0.5,Business travel,1,0,70,Eco,1/30/2014,MQ,13,0,0,No,92,544,10,-73.9702,40.7184,-80.8158,35.2497,NC,NY,18-36
2686,San Francisco,Phoenix,Blue,33,Male,1,2005,10,-0.6667,Business travel,0,0,60,Business,1/28/2014,OO,17,0,0,No,112,651,9,-111.97,33.4941,-122.1585,37.6712,CA,AZ,18-36
2697,Phoenix,Spokane,Blue,20,Female,2,2003,28,-0.4359,Mileage tickets,1,0,20,Eco Plus,1/15/2014,US,15,0,0,No,128,1020,8,-117.3523,47.6804,-111.97,33.4941,AZ,WA,18-36
2699,Dothan,Atlanta,Blue,19,Male,1,2003,17,-0.4783,Business travel,2,0,45,Business,1/12/2014,EV,13,0,3,No,33,170,7,-84.3319,33.8241,-85.4251,31.2237,AL,GA,18-36
2709,Chicago,Pensacola,Blue,25,Female,1,2003,30,-0.5789,Business travel,1,0,120,Eco Plus,3/29/2014,EV,11,30,33,No,122,794,6,-87.2534,30.4853,-87.8954,41.8271,IL,FL,18-36
2711,El Paso,Houston,Blue,22,Male,2,2008,12,-0.6,Business travel,1,0,100,Eco,2/1/2014,EV,11,0,0,No,100,667,6,-95.3935,29.7843,-106.389,31.7802,TX,TX,18-36
2715,Atlanta,Detroit,Blue,34,Female,1,2003,52,-0.9623,Personal Travel,3,15,40,Eco,2/15/2014,FL,7,8,0,No,87,594,4,-83.2276,42.49,-84.3319,33.8241,GA,MI,18-36
2718,Fort Wayne,Chicago,Blue,35,Male,1,2003,3,0.4,Business travel,1,50,75,Eco,3/19/2014,OO,17,6,6,No,37,157,10,-87.8954,41.8271,-85.1389,41.1004,IN,IL,18-36
2720,Miami,Phoenix,Blue,31,Male,2,2009,44,-0.76,Mileage tickets,0,0,40,Eco,1/25/2014,AA,23,0,0,No,214,1972,9,-111.97,33.4941,-80.2314,26.1756,FL,AZ,18-36
2724,Chicago,Las Vegas,Gold,28,Female,2,2010,21,-0.9091,Business travel,0,120,255,Eco,3/21/2014,WN,7,10,0,No,171,1521,9,-115.1672,36.1349,-87.8954,41.8271,IL,NV,18-36
2727,St. Louis,San Antonio,Blue,34,Female,1,2008,13,0.3158,Personal Travel,2,27,25,Eco,3/9/2014,WN,6,1,0,No,101,786,4,-98.4754,29.5144,-90.3409,38.6307,MO,TX,18-36
2728,New York,Boston,Blue,33,Male,1,2008,2,0.6,Business travel,1,90,65,Eco,2/12/2014,US,7,0,0,No,51,184,9,-71.1407,42.3731,-73.9702,40.7184,NY,MA,18-36
2729,Philadelphia,Atlanta,Blue,19,Female,1,2010,2,0.3333,Business travel,0,0,0,Eco,1/25/2014,DL,18,1,9,No,93,666,6,-84.3319,33.8241,-75.2984,39.9733,PA,GA,18-36
2731,Seattle,Sacramento,Silver,32,Male,1,2009,17,0.2444,Personal Travel,2,0,90,Eco,1/21/2014,AS,16,0,0,No,85,605,10,-121.3247,38.6386,-122.2747,47.4684,WA,CA,18-36
2732,Atlanta,Harrisburg,Blue,28,Female,2,2003,28,-0.5135,Personal Travel,1,0,10,Eco,1/23/2014,EV,16,3,54,No,118,620,2,-76.8662,40.2456,-84.3319,33.8241,GA,PA,18-36
2737,New York,San Francisco,Silver,22,Female,1,2010,13,-0.1304,Mileage tickets,0,60,45,Eco,2/11/2014,AA,7,7,0,No,293,2586,9,-122.1585,37.6712,-73.9702,40.7184,NY,CA,18-36
2738,Seattle,Anchorage,Silver,25,Female,1,2011,0,1,Personal Travel,0,15,45,Eco,2/12/2014,AS,11,8,0,No,177,1448,7,-149.8472,61.1679,-122.2747,47.4684,WA,AK,18-36
2739,Knoxville,Chicago,Blue,24,Female,1,2005,2,0,Business travel,2,5,90,Eco,1/15/2014,MQ,9,29,31,No,72,475,10,-87.8954,41.8271,-84.0244,35.9168,TN,IL,18-36
2740,Chicago,San Diego,Silver,35,Male,1,2010,21,-0.5556,Business travel,2,330,60,Eco,3/24/2014,WN,14,0,0,No,214,1728,10,-117.1288,32.9287,-87.8954,41.8271,IL,CA,18-36
2743,Detroit,Boston,Blue,31,Female,2,2003,8,0.2,Business travel,4,60,75,Eco Plus,2/16/2014,DL,16,0,1,No,112,632,10,-71.1407,42.3731,-83.2276,42.49,MI,MA,18-36
2744,Seattle,Portland,Blue,30,Female,2,2007,22,-0.4667,Business travel,0,120,85,Eco,1/30/2014,OO,7,0,0,No,37,129,8,-122.6511,45.5204,-122.2747,47.4684,WA,OR,18-36
2750,Chicago,Duluth,Blue,20,Male,2,2009,17,-0.3077,Personal Travel,0,0,60,Eco,2/25/2014,OO,10,0,0,No,61,397,4,-92.129,46.7656,-87.8954,41.8271,IL,MN,18-36
2755,New York,Birmingham,Blue,19,Female,2,2003,7,-0.5556,Business travel,0,105,140,Eco Plus,2/28/2014,EV,7,0,0,No,107,866,7,-86.792,33.4691,-73.9702,40.7184,NY,AL,18-36
2760,Chicago,Columbia,Blue,34,Male,0,2005,0,1,Business travel,2,285,60,Eco,2/16/2014,EV,9,0,1,No,117,667,1,-81.0772,34.0362,-87.8954,41.8271,IL,SC,18-36
2763,Phoenix,Des Moines,Blue,22,Female,2,2007,20,0.2157,Business travel,3,0,30,Eco,2/8/2014,US,7,6,57,No,169,1149,7,-93.6561,41.6194,-111.97,33.4941,AZ,IA,18-36
2767,Phoenix,Indianapolis,Blue,19,Female,2,2004,18,-0.3333,Mileage tickets,1,0,15,Eco,1/1/2014,WN,8,6,6,No,217,1488,9,-86.1455,39.8113,-111.97,33.4941,AZ,IN,18-36
2774,San Diego,Salt Lake City,Blue,32,Female,2,2008,13,0.0714,Business travel,3,0,125,Eco,1/16/2014,DL,11,0,0,No,81,626,8,-111.9295,40.6408,-117.1288,32.9287,CA,UT,18-36
2775,Houston,Shreveport,Silver,33,Female,1,2003,10,-0.5385,Business travel,0,47,60,Business,2/26/2014,EV,5,0,0,No,41,192,7,-93.7562,32.4873,-95.3935,29.7843,TX,LA,18-36
2780,Birmingham,Miami,Blue,18,Female,1,2003,19,-0.9,Personal Travel,0,0,60,Eco Plus,1/22/2014,MQ,10,0,0,No,97,661,4,-80.2314,26.1756,-86.792,33.4691,AL,FL,18-36
2788,Atlanta,New York,Blue,22,Female,1,2003,13,-0.1818,Mileage tickets,0,20,80,Eco,2/18/2014,DL,17,0,0,No,114,760,10,-73.9702,40.7184,-84.3319,33.8241,GA,NY,18-36
2790,Tampa,Chicago,Blue,32,Female,2,2007,42,-0.68,Business travel,0,0,30,Eco,2/19/2014,AA,11,0,0,No,119,1012,9,-87.8954,41.8271,-82.5132,28.0062,FL,IL,18-36
2798,Philadelphia,Miami,Silver,27,Male,1,2007,10,-0.3333,Business travel,0,0,81,Eco,1/17/2014,US,7,0,0,No,128,1013,9,-80.2314,26.1756,-75.2984,39.9733,PA,FL,18-36
2814,Buffalo,Detroit,Blue,21,Female,1,2005,17,-0.3077,Personal Travel,1,100,185,Eco,3/9/2014,DL,21,0,0,No,43,241,7,-83.2276,42.49,-78.8237,42.9249,NY,MI,18-36
2818,Portland,Denver,Blue,31,Male,1,2012,18,-0.7143,Business travel,4,3,70,Eco Plus,3/9/2014,WN,21,8,9,No,152,991,7,-104.9551,39.7108,-122.6511,45.5204,OR,CO,18-36
2822,Denver,Los Angeles,Blue,35,Male,1,2011,8,-0.0667,Business travel,3,0,30,Business,1/20/2014,MQ,21,52,35,No,106,862,4,-118.1043,33.9827,-104.9551,39.7108,CO,CA,18-36
2825,Philadelphia,Houston,Silver,31,Female,1,2009,3,0.5714,Business travel,2,0,20,Eco,3/24/2014,OU,19,0,0,No,145,1325,6,-95.3935,29.7843,-75.2984,39.9733,PA,TX,18-36
2828,Washington,Houston,Blue,22,Male,1,2003,0,1,Personal Travel,0,0,30,Eco,3/13/2014,OU,7,0,0,No,145,1190,2,-95.3935,29.7843,-77.1897,38.8974,DC,TX,18-36
2829,Chicago,Pittsburgh,Blue,27,Male,1,2010,14,-0.5556,Business travel,0,0,75,Eco,1/28/2014,OU,15,32,20,No,73,413,10,-79.951,40.457,-87.8954,41.8271,IL,PA,18-36
2830,Las Vegas,San Antonio,Silver,28,Male,1,2003,5,0,Business travel,0,10,45,Eco,3/26/2014,WN,6,0,0,No,159,1069,5,-98.4754,29.5144,-115.1672,36.1349,NV,TX,18-36
2833,Miami,Denver,Blue,34,Female,1,2003,6,0.0769,Business travel,2,90,45,Eco,1/18/2014,AA,23,78,69,No,193,1709,7,-104.9551,39.7108,-80.2314,26.1756,FL,CO,18-36
2842,Washington,New York,Blue,31,Male,2,2005,24,-0.4118,Business travel,1,5,60,Eco,2/8/2014,MQ,14,0,0,No,46,213,10,-73.9702,40.7184,-77.1897,38.8974,DC,NY,18-36
2843,El Paso,Phoenix,Silver,25,Female,2,2008,31,-0.9375,Mileage tickets,0,150,60,Eco,1/9/2014,WN,10,14,11,No,47,347,10,-111.97,33.4941,-106.389,31.7802,TX,AZ,18-36
2846,Chicago,Reno,Silver,31,Male,1,2003,13,0.037,Personal Travel,3,95,45,Eco,2/8/2014,AA,8,0,0,No,191,1671,7,-119.7959,39.5326,-87.8954,41.8271,IL,NV,18-36
2847,Chicago,Charleston,Silver,33,Female,1,2010,7,0.0667,Business travel,3,161,10,Eco,1/1/2014,OO,11,0,21,No,124,760,8,-80.0155,32.9023,-87.8954,41.8271,IL,SC,18-36
2851,Boston,Chicago,Blue,31,Female,2,2008,17,-0.7,Business travel,2,43,60,Eco,2/5/2014,AA,19,NA,NA,Yes,0,867,9,-87.8954,41.8271,-71.1407,42.3731,MA,IL,18-36
2854,Buffalo,New York,Silver,32,Female,1,2005,15,-0.25,Business travel,0,0,59,Eco,1/14/2014,B6,10,0,0,No,60,301,9,-73.9702,40.7184,-78.8237,42.9249,NY,NY,18-36
2856,Detroit,New York,Blue,22,Female,1,2003,25,0.1228,Personal Travel,1,55,110,Eco,3/10/2014,DL,16,8,0,No,96,502,8,-73.9702,40.7184,-83.2276,42.49,MI,NY,18-36
2857,Buffalo,Atlanta,Blue,19,Male,1,2003,8,-0.7778,Personal Travel,0,95,65,Eco,3/3/2014,DL,14,0,0,No,95,712,5,-84.3319,33.8241,-78.8237,42.9249,NY,GA,18-36
2863,Phoenix,Santa Barbara,Blue,28,Female,2,2003,14,0,Personal Travel,2,5,105,Eco,1/2/2014,OO,19,0,0,No,69,455,5,-119.7241,34.4275,-111.97,33.4941,AZ,CA,18-36
2864,Denver,Tucson,Blue,22,Female,1,2008,17,0.1053,Mileage tickets,3,30,30,Eco,3/20/2014,OO,7,0,0,No,88,639,9,-110.9461,32.2549,-104.9551,39.7108,CO,AZ,18-36
2867,Houston,Charlotte,Silver,30,Male,1,2003,2,0.7647,Business travel,1,105,45,Eco,2/14/2014,WN,13,30,26,No,152,920,9,-80.8158,35.2497,-95.3935,29.7843,TX,NC,18-36
2871,Minneapolis,Phoenix,Blue,24,Male,1,2010,17,-0.7895,Business travel,0,15,68,Eco,2/28/2014,US,16,64,47,No,147,1276,9,-111.97,33.4941,-93.2798,44.9782,MN,AZ,18-36
2872,Denver,Houston,Blue,22,Male,1,2009,21,-0.5556,Business travel,0,0,0,Eco,1/18/2014,OU,11,0,0,No,123,862,6,-95.3935,29.7843,-104.9551,39.7108,CO,TX,18-36
2877,Baltimore,Charlotte,Blue,22,Female,1,2007,13,-0.5294,Business travel,0,0,30,Eco Plus,3/21/2014,WN,7,0,0,No,60,361,7,-80.8158,35.2497,-76.6478,39.2341,MD,NC,18-36
2878,Baltimore,New York,Blue,31,Male,1,2012,15,-0.3636,Business travel,0,0,50,Eco,1/13/2014,MQ,16,0,0,No,41,184,9,-73.9702,40.7184,-76.6478,39.2341,MD,NY,18-36
2881,Charlotte,Cleveland,Blue,25,Male,1,2008,6,0.7143,Business travel,1,0,40,Eco,2/11/2014,US,8,0,1,No,78,430,9,-81.6054,41.4436,-80.8158,35.2497,NC,OH,18-36
2883,Orlando,Austin,Blue,20,Male,1,2007,54,-0.6875,Business travel,1,0,60,Eco,2/19/2014,WN,16,7,11,No,124,994,8,-97.7615,30.3585,-81.4112,28.5844,FL,TX,18-36
2887,Los Angeles,Fresno,Blue,28,Female,2,2003,21,0,Mileage tickets,3,60,90,Eco,3/23/2014,OO,20,13,33,No,71,209,10,-119.7611,36.7878,-118.1043,33.9827,CA,CA,18-36
2890,Tampa,Hartford,Blue,23,Male,2,2003,32,-0.5238,Mileage tickets,0,0,20,Eco,2/5/2014,B6,9,NA,NA,Yes,0,1111,7,-72.6988,41.7401,-82.5132,28.0062,FL,CT,18-36
2899,Tulsa,Chicago,Blue,18,Female,2,2006,17,-0.8889,Business travel,0,0,30,Eco,1/30/2014,OO,9,0,2,No,97,585,9,-87.8954,41.8271,-95.9013,36.1054,OK,IL,18-36
2906,Austin,Atlanta,Blue,19,Male,1,2009,24,-0.5,Business travel,1,0,20,Eco,3/26/2014,DL,21,0,0,No,121,813,7,-84.3319,33.8241,-97.7615,30.3585,TX,GA,18-36
2919,Baltimore,Chicago,Blue,20,Male,1,2005,26,-0.4857,Personal Travel,1,30,90,Eco,1/21/2014,WN,8,3,3,No,89,611,5,-87.8954,41.8271,-76.6478,39.2341,MD,IL,18-36
